subevent_id,results_url,name,series,year
B69D77C6-8FDA-41E3-9EC9-B73D922B75A0,https://ironman.com/im703-vietnam-results,Viet Nam,IRONMAN-70.3,2023
4C083840-3AD5-4035-9B15-B60ADBD06263,https://ironman.com/im703-vietnam-results,Viet Nam,IRONMAN-70.3,2022
088DF2FA-9EA7-E811-A961-000D3A3740B7,https://ironman.com/im703-vietnam-results,Viet Nam,IRONMAN-70.3,2019
B2A4D90E-E48C-E711-9419-005056951BF1,https://ironman.com/im703-vietnam-results,Viet Nam,IRONMAN-70.3,2018
55B1CA34-136E-E611-940F-005056951BF1,https://ironman.com/im703-vietnam-results,Viet Nam,IRONMAN-70.3,2017
AB503AC8-C557-E511-9409-005056951BF1,https://ironman.com/im703-vietnam-results,Viet Nam,IRONMAN-70.3,2016
84B91ECB-06B2-E411-9400-005056951BF1,https://ironman.com/im703-vietnam-results,Viet Nam,IRONMAN-70.3,2015
6C806AA2-4A52-4C7C-BE7C-8E331759347A,https://www.ironman.com/im703-aix-en-provence-results,Aix-en-Provence,IRONMAN-70.3,2023
F3092057-1F84-447C-A909-2ABF4C229445,https://www.ironman.com/im703-aix-en-provence-results,Aix-en-Provence,IRONMAN-70.3,2022
057DB37C-7E98-42F6-8086-F813EDBE7F3A,https://www.ironman.com/im703-aix-en-provence-results,Aix-en-Provence,IRONMAN-70.3,2021
4F9CF450-CE89-E811-941F-005056951BF1,https://www.ironman.com/im703-aix-en-provence-results,Aix-en-Provence,IRONMAN-70.3,2019
A06AF767-C26B-E711-9418-005056951BF1,https://www.ironman.com/im703-aix-en-provence-results,Aix-en-Provence,IRONMAN-70.3,2018
F8ABDD9D-1837-E611-940F-005056951BF1,https://www.ironman.com/im703-aix-en-provence-results,Aix-en-Provence,IRONMAN-70.3,2017
91FBD7D9-7C25-E511-9403-005056951BF1,https://www.ironman.com/im703-aix-en-provence-results,Aix-en-Provence,IRONMAN-70.3,2016
