name,series,results_url
Bolton,IRONMAN-70.3,https://ironman.com/im703-bolton-results
Lapu-Lapu,IRONMAN-70.3,https://www.ironman.com/im703-cebu-philippines-results
Campeche,IRONMAN-70.3,https://www.ironman.com/im703-campeche-results
Cap Cana,IRONMAN-70.3,https://www.ironman.com/im703-cap-cana-results
Louisville,IRONMAN-70.3,https://www.ironman.com/im703-louisville-results
Valencia,IRONMAN-70.3,https://www.ironman.com/im703-valencia-results
Valdivia,IRONMAN-70.3,https://www.ironman.com/im703-valdivia-results
Washington Tri-Cities,IRONMAN-70.3,https://www.ironman.com/im703-washington-tri-cities-results
Hradec Králové,IRONMAN-70.3,https://www.ironman.com/im703-hradec-kralove-results
"Belgrade, Serbia",IRONMAN-70.3,https://www.ironman.com/im703-belgrade-results
Japan South Hokkaido,IRONMAN,https://www.ironman.com/im-south-hokkaido-results
Salinas,5150-Triathlon-Series,https://www.ironman.com/5150-salinas-results
Canada,IRONMAN-70.3,https://www.ironman.com/im703-canada-results
Alaska,IRONMAN,https://www.ironman.com/im-alaska
Boulder ,IRONMAN,https://www.ironman.com/im-boulder
Canada-Whistler,IRONMAN,https://www.ironman.com/im-canada-whistler
China,IRONMAN,https://www.ironman.com/im-china
Haugesund,IRONMAN,https://www.ironman.com/im-haugesund
Indiana,IRONMAN,https://www.ironman.com/im-indiana
Korea - Jeju,IRONMAN,https://www.ironman.com/im-korea-jeju
Lake Tahoe,IRONMAN,https://www.ironman.com/im-lake-tahoe
Maastricht-Limburg,IRONMAN,https://www.ironman.com/im-maastricht-limburg
Mallorca,IRONMAN,https://www.ironman.com/im-mallorca
Pays d'Aix-en-Provence,IRONMAN,https://www.ironman.com/im-aix-en-provence
Regensburg,IRONMAN,https://www.ironman.com/im-regensburg
Switzerland Zurich,IRONMAN,https://www.ironman.com/im-switzerland-zurich
Santa Rosa,IRONMAN,https://www.ironman.com/im-santa-rosa
St. George,IRONMAN,https://www.ironman.com/im-st-george
Tulsa,IRONMAN,https://www.ironman.com/im-tulsa
UK,IRONMAN,https://www.ironman.com/im-uk
Aarhus,IRONMAN-70.3,https://www.ironman.com/im703-aarhus
Andorra,IRONMAN-70.3,https://www.ironman.com/im703-andorra
Antwerp,IRONMAN-70.3,https://www.ironman.com/im703-antwerp
Atlantic City,IRONMAN-70.3,https://www.ironman.com/im703-atlantic-city
Auckland,IRONMAN-70.3,https://www.ironman.com/im703-auckland
Austin,IRONMAN-70.3,https://www.ironman.com/im703-austin
Ballarat,IRONMAN-70.3,https://www.ironman.com/im703-ballarat
Barcelona,IRONMAN-70.3,https://www.ironman.com/im703-barcelona
Bariloche,IRONMAN-70.3,https://www.ironman.com/im703-bariloche
Bintan,IRONMAN-70.3,https://www.ironman.com/im703-bintan
Boise,IRONMAN-70.3,https://www.ironman.com/im703-boise
Branson,IRONMAN-70.3,https://www.ironman.com/im703-branson
Budapest,IRONMAN-70.3,https://www.ironman.com/im703-budapest
Busan,IRONMAN-70.3,https://www.ironman.com/im703-busan
Busselton,IRONMAN-70.3,https://www.ironman.com/im703-busselton
Colombo,IRONMAN-70.3,https://www.ironman.com/im703-colombo
Connecticut,IRONMAN-70.3,https://www.ironman.com/im703-connecticut
Coquimbo,IRONMAN-70.3,https://www.ironman.com/im703-coquimbo
Costa Rica ,IRONMAN-70.3,https://www.ironman.com/im703-costa-rica
Dublin,IRONMAN-70.3,https://www.ironman.com/im703-dublin
Dùn Laoghaire,IRONMAN-70.3,https://www.ironman.com/im703-dun-laoghaire
